割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,93.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,363.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,131.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,359.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,91.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,348.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,94.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,369.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,92.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,364.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,107.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,344.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,100.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,376.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,111.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,381.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,106.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,354.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,106.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,350.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,112.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,370.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,94.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,355.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,126.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,349.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,96.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,356.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,85.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,361.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,87.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,366.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,84.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,370.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,86.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,370.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,106.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,334.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,84.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,348.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,89.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,357.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
割り当て方法 : ,loc ,計算ノードの数 :,6,通信量 : ,96.0
割り当て方法 : ,rnd ,計算ノードの数 :,6,通信量 : ,347.0
割り当て方法 : ,sim ,計算ノードの数 :,6,通信量 : ,110.0
